"","state","dates","cases","cluster"
"1","Alabama",2020-01-27,0,"4"
"2","Alabama",2020-02-03,0,"4"
"3","Alabama",2020-02-10,0,"4"
"4","Alabama",2020-02-17,0,"4"
"5","Alabama",2020-02-24,0,"4"
"6","Alabama",2020-03-02,0,"4"
"7","Alabama",2020-03-09,5.71057384128888,"4"
"8","Alabama",2020-03-16,31.0002579955682,"4"
"9","Alabama",2020-03-23,142.764346032222,"4"
"10","Alabama",2020-03-30,209.047792404325,"4"
"11","Alabama",2020-04-06,359.358253869679,"4"
"12","Alabama",2020-04-13,267.377225211776,"4"
"13","Alabama",2020-04-20,305.311751443195,"4"
"14","Alabama",2020-04-27,306.331496771996,"4"
"15","Alabama",2020-05-04,408.917876849436,"4"
"16","Alabama",2020-05-11,439.510236713483,"4"
"17","Alabama",2020-05-18,517.826677965445,"4"
"18","Alabama",2020-05-25,718.716507739357,"4"
"19","Alabama",2020-06-01,525.576742464337,"4"
"20","Alabama",2020-06-08,1102.34470043451,"4"
"21","Alabama",2020-06-15,803.559319095649,"4"
"22","Alabama",2020-06-22,1301.39898861658,"4"
"23","Alabama",2020-06-29,1533.49302545182,"4"
"24","Alabama",2020-07-06,2194.28799851525,"4"
"25","Alabama",2020-07-13,2641.54829972763,"4"
"26","Alabama",2020-07-20,2491.23783826227,"4"
"27","Alabama",2020-07-27,2347.45374690125,"4"
"28","Alabama",2020-08-03,2041.12225012925,"4"
"29","Alabama",2020-08-10,1264.68815677973,"4"
"30","Alabama",2020-08-17,1594.47379611416,"4"
"31","Alabama",2020-08-24,1929.15421302684,"4"
"32","Alabama",2020-08-31,1375.8403976191,"4"
"33","Alabama",2020-09-07,1258.56968480692,"4"
"34","Alabama",2020-09-14,1318.32676107469,"4"
"35","Alabama",2020-09-21,1484.54524966935,"4"
"36","Alabama",2020-09-28,1450.68970475313,"4"
"37","Alabama",2020-10-05,1365.84689339684,"4"
"38","Alabama",2020-10-12,1547.56551098929,"4"
"39","Alabama",2020-10-19,2390.48699977668,"4"
"40","Alabama",2020-10-26,1985.44415517669,"4"
"41","Alabama",2020-11-02,2081.70811421556,"4"
"42","Alabama",2020-11-09,2683.35785820849,"4"
"43","Alabama",2020-11-16,2994.7880816245,"4"
"44","Alabama",2020-11-23,3002.74209518915,"4"
"45","Alabama",2020-11-30,4619.03844133966,"4"
"46","Alabama",2020-12-07,5252.50423959121,"4"
"47","Alabama",2020-12-14,5470.11789275746,"4"
"48","Alabama",2020-12-21,4726.72354806111,"4"
"49","Alabama",2020-12-28,5365.0841238909,"4"
"50","Alabama",2021-01-04,6111.53770457366,"4"
"51","Alabama",2021-01-11,4221.33776310704,"4"
"52","Alabama",2021-01-18,3787.74204930061,"4"
"53","Alabama",2021-01-25,3766.7352955273,"4"
"54","Alabama",2021-02-01,2607.28485667989,"4"
"55","Alabama",2021-02-08,1735.19865148878,"4"
"56","Alabama",2021-02-15,1205.74687677499,"4"
"57","Alabama",2021-02-22,1307.10956245787,"4"
"58","Alabama",2021-03-01,1339.333514848,"4"
"59","Alabama",2021-03-08,786.019699440262,"4"
"60","Alabama",2021-03-15,1588.15137507559,"4"
"61","Alabama",2021-03-22,597.774711743489,"4"
"62","Alabama",2021-03-29,493.148841008447,"4"
"63","Alabama",2021-04-05,426.253547439063,"4"
"64","Alabama",2021-04-12,714.22962829263,"4"
"65","Alabama",2021-04-19,760.730015285983,"4"
"66","Alabama",2021-04-26,502.938396164942,"4"
"67","Alabama",2021-05-03,487.642216232918,"4"
"68","Alabama",2021-05-10,1854.91675309008,"4"
"69","Alabama",2021-05-17,416.260043216807,"4"
"70","Alabama",2021-05-24,261.258753238966,"4"
"71","Alabama",2021-05-31,444.608963357491,"4"
"72","Alabama",2021-06-07,354.463476291431,"4"
"73","Alabama",2021-06-14,272.068053724263,"4"
"74","Alabama",2021-06-21,260.442956975925,"4"
"75","Alabama",2021-06-28,278.186525697072,"4"
"76","Alabama",2021-07-05,674.459560469368,"4"
"77","Alabama",2021-07-12,1141.50292106049,"4"
"78","Alabama",2021-07-19,2134.32697318172,"4"
"79","Alabama",2021-07-26,3413.69946269619,"4"
"80","Alabama",2021-08-02,4039.00729831732,"4"
"81","Alabama",2021-08-09,5646.94173277166,"4"
"82","Alabama",2021-08-16,5744.83728433661,"4"
"83","Alabama",2021-08-23,5789.29818067236,"4"
"84","Alabama",2021-08-30,6255.32179593468,"4"
"85","Alabama",2021-09-06,5197.43799183592,"4"
"86","Alabama",2021-09-13,4646.97946334882,"4"
"87","Alabama",2021-09-20,3806.3014142848,"4"
"88","Alabama",2021-09-27,2373.55922731857,"4"
"89","Alaska",2020-01-27,0,"2"
"90","Alaska",2020-02-03,0,"2"
"91","Alaska",2020-02-10,0,"2"
"92","Alaska",2020-02-17,0,"2"
"93","Alaska",2020-02-24,0,"2"
"94","Alaska",2020-03-02,0,"2"
"95","Alaska",2020-03-09,1.36696990615752,"2"
"96","Alaska",2020-03-16,34.1742476539379,"2"
"97","Alaska",2020-03-23,116.192442023389,"2"
"98","Alaska",2020-03-30,103.889712867971,"2"
"99","Alaska",2020-04-06,121.660321648019,"2"
"100","Alaska",2020-04-13,65.6145554955608,"2"
"101","Alaska",2020-04-20,30.0733379354654,"2"
"102","Alaska",2020-04-27,36.9081874662529,"2"
"103","Alaska",2020-05-04,17.7706087800477,"2"
"104","Alaska",2020-05-11,30.0733379354654,"2"
"105","Alaska",2020-05-18,20.5045485923627,"2"
"106","Alaska",2020-05-25,83.3851642756085,"2"
"107","Alaska",2020-06-01,151.733659583484,"2"
"108","Alaska",2020-06-08,202.311546111312,"2"
"109","Alaska",2020-06-15,173.605178082004,"2"
"110","Alaska",2020-06-22,273.393981231503,"2"
"111","Alaska",2020-06-29,426.494610721145,"2"
"112","Alaska",2020-07-06,549.521902275321,"2"
"113","Alaska",2020-07-13,701.255561858806,"2"
"114","Alaska",2020-07-20,1156.45654060926,"2"
"115","Alaska",2020-07-27,1189.26381835704,"2"
"116","Alaska",2020-08-03,697.154652140333,"2"
"117","Alaska",2020-08-10,796.943455289832,"2"
"118","Alaska",2020-08-17,701.255561858806,"2"
"119","Alaska",2020-08-24,703.989501671121,"2"
"120","Alaska",2020-08-31,743.631628949689,"2"
"121","Alaska",2020-09-07,699.888591952648,"2"
"122","Alaska",2020-09-14,818.814973788352,"2"
"123","Alaska",2020-09-21,969.181663465679,"2"
"124","Alaska",2020-09-28,1249.41049422797,"2"
"125","Alaska",2020-10-05,1756.55632941241,"2"
"126","Alaska",2020-10-12,1835.84058396954,"2"
"127","Alaska",2020-10-19,2781.78375903054,"2"
"128","Alaska",2020-10-26,3600.5987328189,"2"
"129","Alaska",2020-11-02,4271.78095674224,"2"
"130","Alaska",2020-11-09,5456.9438653808,"2"
"131","Alaska",2020-11-16,5428.2374973515,"2"
"132","Alaska",2020-11-23,5864.30089741574,"2"
"133","Alaska",2020-11-30,6800.67528313364,"2"
"134","Alaska",2020-12-07,5614.14540458892,"2"
"135","Alaska",2020-12-14,3727.72693409155,"2"
"136","Alaska",2020-12-21,2602.71070132391,"2"
"137","Alaska",2020-12-28,3168.63624247312,"2"
"138","Alaska",2021-01-04,2897.97620105393,"2"
"139","Alaska",2021-01-11,2352.55520849709,"2"
"140","Alaska",2021-01-18,1882.3175607789,"2"
"141","Alaska",2021-01-25,1386.10748484372,"2"
"142","Alaska",2021-02-01,1245.3095845095,"2"
"143","Alaska",2021-02-08,1572.01539208114,"2"
"144","Alaska",2021-02-15,1360.13505662673,"2"
"145","Alaska",2021-02-22,1216.60321648019,"2"
"146","Alaska",2021-03-01,1420.28173249766,"2"
"147","Alaska",2021-03-08,1274.0159525388,"2"
"148","Alaska",2021-03-15,1227.53897572945,"2"
"149","Alaska",2021-03-22,1502.29992686711,"2"
"150","Alaska",2021-03-29,1690.94177391685,"2"
"151","Alaska",2021-04-05,1751.08844978778,"2"
"152","Alaska",2021-04-12,1556.97872311341,"2"
"153","Alaska",2021-04-19,1555.61175320725,"2"
"154","Alaska",2021-04-26,1488.63022780553,"2"
"155","Alaska",2021-05-03,1000.6219713073,"2"
"156","Alaska",2021-05-10,798.310425195989,"2"
"157","Alaska",2021-05-17,598.732818896992,"2"
"158","Alaska",2021-05-24,418.2927912842,"2"
"159","Alaska",2021-05-31,356.779145507112,"2"
"160","Alaska",2021-06-07,250.155492826825,"2"
"161","Alaska",2021-06-14,304.834289073126,"2"
"162","Alaska",2021-06-21,218.715184985203,"2"
"163","Alaska",2021-06-28,477.072497248973,"2"
"164","Alaska",2021-07-05,474.338557436658,"2"
"165","Alaska",2021-07-12,969.181663465679,"2"
"166","Alaska",2021-07-19,1883.68453068506,"2"
"167","Alaska",2021-07-26,2280.10580347074,"2"
"168","Alaska",2021-08-02,2870.63680293078,"2"
"169","Alaska",2021-08-09,3057.91168007436,"2"
"170","Alaska",2021-08-16,4556.110697223,"2"
"171","Alaska",2021-08-23,4916.99075244858,"2"
"172","Alaska",2021-08-30,5316.14596504658,"2"
"173","Alaska",2021-09-06,6196.47458461202,"2"
"174","Alaska",2021-09-13,7087.73896342672,"2"
"175","Alaska",2021-09-20,10004.8527431669,"2"
"176","Alaska",2021-09-27,10968.5665270079,"2"
"177","Arizona",2020-01-27,0,"4"
"178","Arizona",2020-02-03,0,"4"
"179","Arizona",2020-02-10,0,"4"
"180","Arizona",2020-02-17,0,"4"
"181","Arizona",2020-02-24,0,"4"
"182","Arizona",2020-03-02,0.412160549723255,"4"
"183","Arizona",2020-03-09,1.09909479926201,"4"
"184","Arizona",2020-03-16,19.2341589870852,"4"
"185","Arizona",2020-03-23,105.375713879245,"4"
"186","Arizona",2020-03-30,185.472247375465,"4"
"187","Arizona",2020-04-06,174.893459932568,"4"
"188","Arizona",2020-04-13,191.105108221682,"4"
"189","Arizona",2020-04-20,219.95634670231,"4"
"190","Arizona",2020-04-27,289.336705905725,"4"
"191","Arizona",2020-05-04,340.582000921316,"4"
"192","Arizona",2020-05-11,388.255237839306,"4"
"193","Arizona",2020-05-18,334.124818975652,"4"
"194","Arizona",2020-05-25,488.959798821688,"4"
"195","Arizona",2020-06-01,968.989452399372,"4"
"196","Arizona",2020-06-08,1197.60117064587,"4"
"197","Arizona",2020-06-15,2319.77696069239,"4"
"198","Arizona",2020-06-22,2930.32412168243,"4"
